last_name,first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,FIELD16
Correa, Carlos,621043,2022,0.276,0.484,0.362,0.363,0.353,0.208,0.42,0.422,89.9,11.6,11.4,
Phillips, Brett,621433,2022,0.156,0.244,0.213,0.22,0.23,0.088,0.313,0.327,88.5,22.8,4.5,
Taylor, Tyrone,621438,2022,0.236,0.412,0.314,0.307,0.289,0.176,0.391,0.38,88,16.9,9.9,
Buxton, Byron,621439,2022,0.242,0.509,0.356,0.358,0.323,0.267,0.478,0.481,92.9,21.4,16.4,
Ward, Taylor,621493,2022,0.268,0.474,0.362,0.361,0.352,0.206,0.421,0.42,90,15.8,12.4,
Nido, Tomas,621512,2022,0.242,0.377,0.265,0.287,0.279,0.135,0.33,0.362,86.3,8.3,6.3,
Wisdom, Patrick,621550,2022,0.188,0.38,0.316,0.295,0.284,0.191,0.438,0.399,90.7,21,14.2,
Wendle, Joey,621563,2022,0.25,0.331,0.289,0.276,0.289,0.081,0.31,0.294,87.5,3,1.7,
Olson, Matt,621566,2022,0.248,0.467,0.344,0.347,0.334,0.219,0.417,0.422,92.9,16.1,13.6,
Duffy, Matt,622110,2022,0.234,0.333,0.279,0.28,0.293,0.098,0.313,0.315,87.1,9.9,2.8,
Margot, Manuel,622534,2022,0.264,0.357,0.308,0.299,0.316,0.092,0.351,0.339,89.5,10.2,3.7,
Reyes, Victor,622682,2022,0.261,0.368,0.284,0.292,0.297,0.107,0.345,0.357,87.9,10.9,5,
Mateo, Jorge,622761,2022,0.222,0.344,0.281,0.272,0.269,0.122,0.362,0.348,86.8,14.8,6,
Velazquez, Andrew,623205,2022,0.202,0.312,0.239,0.246,0.243,0.11,0.337,0.35,88,8.2,6.6,
Ramirez, Harold,623912,2022,0.28,0.387,0.327,0.314,0.324,0.108,0.368,0.351,88.5,4.8,4.8,
Santander, Anthony,623993,2022,0.257,0.471,0.336,0.352,0.335,0.214,0.373,0.395,90.1,21.4,11.6,
Alonso, Pete,624413,2022,0.262,0.489,0.366,0.354,0.346,0.227,0.42,0.404,89.8,18.2,12.3,
Arroyo, Christian,624414,2022,0.292,0.43,0.319,0.33,0.33,0.138,0.363,0.378,88.9,9.1,6.4,
Biggio, Cavan,624415,2022,0.193,0.319,0.302,0.288,0.311,0.126,0.35,0.327,87.9,19.6,6.9,
Frazier, Adam,624428,2022,0.262,0.339,0.274,0.297,0.324,0.077,0.272,0.302,85.1,13.6,1.5,
Trevino, Jose,624431,2022,0.239,0.364,0.293,0.281,0.275,0.125,0.335,0.319,87.9,13,5.1,
Gordon, Nick,624503,2022,0.261,0.464,0.321,0.333,0.308,0.203,0.397,0.413,90.6,12.5,9.4,
McGuire, Reese,624512,2022,0.233,0.326,0.297,0.267,0.276,0.092,0.351,0.311,87,14.1,2.5,
Soler, Jorge,624585,2022,0.226,0.421,0.305,0.322,0.312,0.196,0.386,0.415,91.2,13.7,12.2,
Hernandez, Yadiel,628450,2022,0.244,0.407,0.315,0.31,0.293,0.163,0.383,0.377,88.8,3.5,8.6,
Cronenworth, Jake,630105,2022,0.221,0.356,0.318,0.303,0.319,0.135,0.341,0.318,87.6,18.2,5.6,
Pinder, Chad,640461,2022,0.235,0.38,0.281,0.28,0.263,0.145,0.393,0.393,87.5,9.7,6.5,
Azocar, Jose,640492,2022,0.241,0.317,0.278,0.272,0.285,0.077,0.324,0.317,88.3,9.4,2.5,
Anderson, Tim,641313,2022,0.302,0.438,0.323,0.34,0.34,0.136,0.363,0.385,88.2,3.3,5.8,
Bellinger, Cody,641355,2022,0.213,0.354,0.284,0.278,0.271,0.141,0.357,0.348,89.4,20.3,8.3,
Crawford, J.P.,641487,2022,0.255,0.337,0.306,0.315,0.353,0.081,0.293,0.306,85.1,8.9,2,
Dozier, Hunter,641531,2022,0.241,0.387,0.298,0.301,0.297,0.146,0.365,0.371,88.5,13.1,7.7,
Engel, Adam,641553,2022,0.219,0.287,0.256,0.246,0.264,0.068,0.335,0.32,87.9,15,1.8,
Fraley, Jake,641584,2022,0.248,0.417,0.352,0.333,0.338,0.168,0.409,0.382,85.1,13.8,7.3,
Garver, Mitch,641598,2022,0.222,0.405,0.308,0.319,0.313,0.182,0.358,0.374,88.9,18.4,8.8,
Guillorme, Luis,641645,2022,0.255,0.335,0.311,0.302,0.335,0.08,0.316,0.303,86.2,4.3,2.4,
Hampson, Garrett,641658,2022,0.202,0.29,0.267,0.261,0.282,0.087,0.321,0.312,86.5,10.2,4.3,
Heim, Jonah,641680,2022,0.224,0.361,0.306,0.291,0.296,0.137,0.338,0.319,89.3,17,6.9,
Mancini III, Trey,641820,2022,0.245,0.41,0.312,0.327,0.328,0.165,0.361,0.383,89.5,12.7,9.8,
McMahon, Ryan,641857,2022,0.248,0.423,0.326,0.33,0.329,0.176,0.4,0.407,91.7,10.8,10.4,
Neuse, Sheldon,641914,2022,0.212,0.291,0.253,0.254,0.272,0.079,0.309,0.312,89.1,1.5,3.1,
O'Neill, Tyler,641933,2022,0.24,0.423,0.307,0.331,0.324,0.183,0.373,0.41,89.8,13.6,11.3,
Tellez, Rowdy,642133,2022,0.252,0.479,0.327,0.349,0.337,0.226,0.372,0.404,91.1,15.3,12.9,
Mejia, Francisco,642336,2022,0.242,0.329,0.279,0.262,0.265,0.087,0.344,0.32,86.8,15.7,2.7,
Siri, Jose,642350,2022,0.207,0.323,0.268,0.261,0.262,0.116,0.367,0.355,87.2,15.4,6.2,
Rosario, Amed,642708,2022,0.276,0.396,0.311,0.31,0.308,0.12,0.356,0.354,88.4,5,4.5,
Adames, Willy,642715,2022,0.238,0.451,0.325,0.323,0.299,0.213,0.416,0.414,88.9,18.9,13,
Alcantara, Sergio,642727,2022,0.209,0.291,0.269,0.244,0.254,0.082,0.333,0.297,86.6,13.5,1.9,
Estrada, Thairo,642731,2022,0.246,0.352,0.317,0.299,0.312,0.107,0.343,0.319,86.2,8.1,4.4,
Benintendi, Andrew,643217,2022,0.273,0.407,0.342,0.334,0.347,0.134,0.361,0.351,89.2,12.6,5.1,
Cooper, Garrett,643265,2022,0.26,0.436,0.33,0.341,0.338,0.177,0.4,0.418,89.6,8.8,10.7,
Dubon, Mauricio,643289,2022,0.24,0.331,0.248,0.272,0.28,0.091,0.254,0.282,84.7,16.7,2.3,
Jansen, Danny,643376,2022,0.264,0.514,0.364,0.368,0.344,0.25,0.404,0.411,90.4,22.2,13.1,
Kemp, Tony,643393,2022,0.219,0.291,0.287,0.267,0.294,0.072,0.284,0.257,84.4,15,1.6,
Kiner-Falefa, Isiah,643396,2022,0.262,0.333,0.285,0.29,0.317,0.071,0.297,0.304,86.2,4.3,1.2,
McNeil, Jeff,643446,2022,0.28,0.389,0.365,0.323,0.341,0.109,0.377,0.325,86.9,12.8,2.7,
Schwindel, Frank,643524,2022,0.23,0.351,0.278,0.278,0.281,0.121,0.318,0.32,88.1,10.2,4.7,
Albies, Ozzie,645277,2022,0.239,0.387,0.305,0.297,0.29,0.148,0.341,0.331,87.1,16.9,5.4,
Robles, Victor,645302,2022,0.203,0.28,0.26,0.244,0.256,0.077,0.319,0.295,84.6,15.8,3.2,
Devers, Rafael,646240,2022,0.282,0.497,0.373,0.361,0.348,0.215,0.436,0.42,93.1,11.3,11.5,
Naylor, Josh,647304,2022,0.257,0.43,0.331,0.327,0.323,0.173,0.364,0.358,89.4,10.3,8.6,
Toro, Abraham,647351,2022,0.226,0.372,0.246,0.284,0.277,0.146,0.268,0.318,87,16.7,6.8,
Diaz, Aledmys,649557,2022,0.261,0.396,0.301,0.308,0.306,0.134,0.333,0.343,86.6,12.4,6.3,
Urias, Luis,649966,2022,0.238,0.398,0.327,0.326,0.335,0.161,0.359,0.358,87.3,18,8.3,
Arraez, Luis,650333,2022,0.288,0.408,0.35,0.333,0.35,0.121,0.345,0.326,88.9,12.9,3.6,
